"gene","UMAP1","UMAP2","module","kME","hub"
"VapC",-2.52773018424198,-3.76058072819559,"blue",0.0786618288606509,"other"
"TPR",-7.21531434600041,1.12567751631887,"brown",0.390286617189853,"other"
"PilT",4.75269894059017,-1.51572437062113,"green",0.368710104773954,"other"
"NorV",-4.65320511405155,-3.54806132092325,"blue",0.538697280339588,"other"
"mfa1",-7.40113301818058,1.05525117144735,"brown",0.227521139164031,"other"
"HemYx",6.43682293351009,-1.90549392475931,"green",0.166540577349534,"other"
"grdE-1",-5.16086574141667,-3.25466556324808,"blue",0.200113584513179,"other"
"grdE-2",-1.76518477742359,-3.8658828236088,"blue",0.0802179399744921,"other"
"grdE",-5.89044042174504,-3.27133698239176,"blue",0.357773881047038,"other"
"Hcp",3.68256000931576,2.53958754763754,"turquoise",0.410426687669359,"other"
"gp36",5.30682663376644,-2.45115930809824,"green",0.0534888539036488,"other"
"FimA",-6.80181499068424,1.24448852763327,"brown",0.113925998513844,"other"
"DsbD",-6.69373603408024,1.9555192492977,"brown",0.263386975976133,"other"
"CobL",-2.54757531230137,-4.55319328083841,"blue",0.0649136093888261,"other"
"Cas7",1.43595938141659,1.14772622809561,"yellow",0.0259797824735164,"other"
"ArgD",6.44701723511532,0.388177444793301,"turquoise",0.0491361247383464,"other"
"endOF2",-7.3619231754987,1.63062839732321,"brown",0.252495208970908,"other"
"YjbI",-2.96083136145756,-4.14260716214029,"blue",0.09337233583159,"other"
"YmdB",-1.24338589851544,-4.16098088993876,"blue",0.0440279110804158,"other"
"ZnuA",0.186476392105368,0.165060927726345,"yellow",0.0401246755639875,"other"
"XapA",-3.75964398924992,3.61069088206442,"brown",0.0535142936689748,"other"
"PepP",-4.58386440817997,2.50533704981955,"brown",0.154609290323021,"other"
"GlnS",-0.384704934999201,3.42104892954977,"red",0.178098555231258,"other"
"AlaS",-0.634946542426798,3.41512136683615,"red",0.232080514502379,"other"
"ProA",6.33135561402157,0.695792963363247,"turquoise",0.0964822782012515,"other"
"PurB",-0.936650859758112,3.55209427104147,"brown",0.0766959069122035,"other"
"AsnS",-7.37599559371159,0.449152042724209,"blue",0.0570495419174484,"other"
"TktA",-0.702336447879526,3.49012117610128,"red",0.0954234779556648,"other"
"Map",-1.07353559379265,3.08248667941244,"red",0.176794397599033,"other"
"IlvB",5.34597353394344,1.76447038874777,"turquoise",0.2500203777644,"other"
"NadB",1.78608064110592,-1.302081713818,"yellow",0.630674801690265,"other"
"CysK",4.14583544190243,1.75540809855612,"turquoise",0.165707801051159,"other"
"TilS",1.64577512200191,1.13058679328115,"yellow",0.0361744774291734,"other"
"Mdh",-2.47002513949558,4.31987695918234,"brown",0.160343753047115,"other"
"HisG",4.99176029618099,1.94891815409811,"turquoise",0.101695690683628,"other"
"UbiD",4.18872456009701,1.73944120631369,"turquoise",0.0576126409303953,"other"
"AllB",0.02299581225231,-0.355741421125812,"yellow",0.0600227447735154,"other"
"SucC",-2.66124506537602,3.93118124232443,"brown",0.190548718510399,"other"
"PurL1",-1.43633581940815,3.04373316989096,"brown",0.159082688127885,"other"
"PurL2",-1.37941272799656,2.9635279677883,"brown",0.163648732461839,"other"
"RpsL",4.24434141571834,2.76538591609152,"turquoise",0.178632905194329,"other"
"RpsG",-0.717107484683248,3.33318071589621,"red",0.491327707406757,"other"
"RpsJ",0.991416615799215,2.78019027934225,"red",0.588575502993167,"other"
"RpsB",-0.659038158699724,3.38908224330099,"red",0.603036221132452,"other"
"AtpD",1.19317488129452,2.79944639430197,"turquoise",0.504403200008546,"other"
"AtpA",1.2631681388171,2.87559061274679,"turquoise",0.58841039731851,"other"
"GapA",-5.86633868758366,0.402933289863186,"brown",0.173717213846384,"other"
"GlgP",-5.92242951934025,1.22668473944815,"brown",0.145846672946275,"other"
"IlvC",3.24885086472347,1.96888094172628,"turquoise",0.348210917475129,"other"
"Nnr1",-4.38039370124027,2.54838638529928,"brown",0.0707377255854167,"other"
"Nnr2",-4.44395466391728,2.53421883807333,"brown",0.078422904578994,"other"
"GatB",0.133457524135855,-0.159870395801945,"yellow",0.0271678544380468,"other"
"LeuC",4.59135965760067,1.87872748599203,"turquoise",0.0991508915257056,"other"
"LeuD",4.51633696015194,1.92023878321798,"turquoise",0.114959758842046,"other"
"GltB1",6.50128988678768,-1.72689647450296,"green",0.103997653670668,"other"
"HypF",1.0019171660693,0.109892239429074,"yellow",0.0686888983825725,"other"
"GltB2",6.48234371598079,-1.70921505465357,"green",0.101051685241879,"other"
"GltB3",6.46964125092342,-1.75523013844339,"green",0.109419998856395,"other"
"PheT",-0.164200680896494,2.08277158961447,"red",0.234089007544322,"other"
"EMAP",-0.459390925809595,2.44321446643026,"red",0.296495201968399,"other"
"SucD",-2.54572673384831,3.8654678367153,"brown",0.110971522564194,"other"
"PucG",-2.31633313243077,-3.36943788304178,"blue",0.0688349744253725,"other"
"ArgF",-4.89595552031681,-3.24546308293192,"blue",0.623989611569758,"other"
"RplK",-0.791574167653772,3.20325188861044,"red",0.561208295927142,"other"
"RplA",-0.866206052347872,2.76928525195272,"red",0.64575650005274,"other"
"ThrB",0.696978134468344,0.425040771819668,"yellow",0.0365108230590914,"other"
"RplC",0.495917600944784,3.41404371485861,"red",0.777840359622812,"other"
"RplW",0.19208304341152,3.46246652827414,"red",0.594470512390243,"other"
"RplV",-4.02169819419071,2.57221203074606,"red",0.490693464011317,"other"
"RplN",-0.0312603289334505,2.10102825389059,"red",0.472195484551096,"other"
"RplE",-0.0994523340909212,2.15032773242147,"red",0.690588327198894,"other"
"RpsH",-0.14622010533497,2.08775429949911,"red",0.524726463839156,"other"
"RpsE",0.109569353416708,3.42168884501608,"red",0.642429247102127,"other"
"RpsM",-0.182836549922678,2.05342154727133,"red",0.417230089709984,"other"
"RplM",-1.95553942267582,4.29323034510763,"turquoise",0.279084654367097,"other"
"RpsI",-0.0178854042737215,3.3596780799404,"red",0.516638640874597,"other"
"PurA",0.717480105713156,3.51332788691671,"turquoise",0.0900381260683027,"other"
"Ndk",1.94925527031734,0.504881431914883,"turquoise",0.119547775595581,"other"
"HisA",5.23683885987118,1.82329373583944,"turquoise",0.0861772871167281,"other"
"HisF",5.93708614762142,1.94709687457235,"turquoise",0.0306866659677065,"other"
"SerA",-5.06207461898014,2.37639551386984,"brown",0.242358487387154,"other"
"GlyA",-0.913382361277792,2.77847318873556,"red",0.217560840019754,"other"
"HemB",2.64054088051632,1.90841226802023,"turquoise",0.0861269823937845,"other"
"FumC",2.77467994149044,2.02530985102804,"turquoise",0.179461018333707,"other"
"IlvE",0.604085010841635,3.46566276774557,"red",0.127293734523862,"other"
"RlmL",-2.82604678218052,4.04520683512838,"brown",0.111863538342192,"other"
"HisH",2.83289937432125,2.11393194422873,"turquoise",0.0196202115664315,"other"
"LeuA",6.05250505860164,1.49196844325216,"turquoise",0.202055504982682,"other"
"RpiA",6.68240360672787,2.26393347010763,"turquoise",0.115532380790594,"other"
"AlkA",7.25481609757259,0.736867954589443,"turquoise",0.24407379228714,"other"
"Pgk",-3.74936218802616,2.90047435984762,"brown",0.0796125478443764,"other"
"RdgB",-7.14548392836735,1.61946850047262,"brown",0.125294479582054,"other"
"IlvD",5.49859575684383,1.72514848933371,"turquoise",0.145085014966784,"other"
"HisB2",5.30382446701839,1.84899549708517,"turquoise",0.230522954760462,"other"
"TrpB",2.69644383843258,1.84640102610739,"turquoise",0.0507784097513828,"other"
"Asd",2.82718471939876,1.99934439883383,"turquoise",0.0784010609285756,"other"
"ArgG",2.62703256066158,1.3738997481838,"turquoise",0.186476988873773,"other"
"PurH",0.955159348800924,2.86154513583334,"red",0.18691633637998,"other"
"HisI1",1.30949406082943,-0.494348416469974,"yellow",0.0901550688543493,"other"
"HisD",2.84856204445675,2.02232985720785,"turquoise",0.0532086819381594,"other"
"RsmB",6.27455286438778,2.70030431971701,"turquoise",0.124118586438217,"other"
"TrpE",5.40260605271175,1.68906455264242,"turquoise",0.0897177448625273,"other"
"Eno",-3.86053796355412,3.43054228053244,"brown",0.102925382869672,"other"
"PurD",1.54601959641292,-0.795042181752605,"yellow",0.28660146568574,"other"
"PurC",0.625911874130514,1.1690555118099,"yellow",0.175070466239438,"other"
"GalK",-4.07449288909123,3.29990940318258,"brown",0.0925692381236134,"other"
"GatA",0.920635265663412,0.391804506637173,"yellow",0.0809273059626957,"other"
"BioF",-7.64691062514469,0.433531811095791,"brown",0.212747705196745,"other"
"Fbp",5.766352218941,-3.77347202076761,"green",0.174895687815341,"other"
"TrpA",5.50069717820003,1.46064787135275,"turquoise",0.081752083287246,"other"
"ArgH",4.53736214096859,2.00723271594198,"turquoise",0.0695753381000637,"other"
"TrkG",-2.0709280544965,-3.44440550579874,"blue",0.0385891718480624,"other"
"NadE",-5.50111766402409,1.1469939254299,"brown",0.0787094749027274,"other"
"AspS",0.531687063530234,0.51252477393301,"yellow",0.10851759359116,"other"
"GlnA",3.62847999985531,1.59533863291891,"turquoise",0.193560695153272,"other"
"TalA",2.69211248810604,2.00527839884909,"turquoise",0.0925607078074398,"other"
"HemC",6.30538896973446,1.11324303374441,"turquoise",0.175543377624578,"other"
"MtnA",-3.08978219573185,-2.57593447937815,"blue",0.171282310726366,"other"
"PaaJ",-5.43160291258976,-3.34596533551065,"blue",0.349425759637336,"other"
"RpsO",1.28401426728084,3.05551033244284,"turquoise",0.207965507102344,"other"
"RpsS",-0.142314212962839,2.12887411341818,"red",0.453730412664574,"other"
"RpsQ",-0.243103521510813,2.03754167781027,"red",0.431170516274665,"other"
"GyrB",-1.21006115023777,3.27991991267355,"brown",0.0868770911533563,"other"
"GyrA",-1.31306754295513,3.2781236670986,"brown",0.05911936446473,"other"
"FolD",-4.57441659514591,2.53295235858114,"brown",0.0922799853436812,"other"
"Fba",-0.961847054406854,2.76338653788717,"red",0.238441174084104,"other"
"MetK",5.05616526062801,-1.65220571532099,"green",0.197596149655281,"other"
"Gmk",5.3320088809283,2.61840968356283,"turquoise",0.045002499410796,"other"
"NusA",-2.186209159538,4.27284317240866,"brown",0.0314235409419958,"other"
"RplP",-0.212757068320963,1.92499809489401,"red",0.546276768211467,"other"
"RplX",0.102846724346426,3.36337213740499,"red",0.552475753100391,"other"
"RpsN",-0.875538493141386,3.41100292430075,"red",0.50452282402697,"other"
"RplO",-4.19305034224674,2.41291337237509,"red",0.468447801067179,"other"
"RplQ",-3.88754053656742,2.76281433329733,"brown",0.0562669072320181,"other"
"PfkA",-7.30788846556828,0.600226571418362,"brown",0.198691036300488,"other"
"FtsZ",1.0183760350497,2.77991085276754,"red",0.187034193652528,"other"
"NrdB",2.29267172272518,1.64409189448507,"yellow",0.0369837618309624,"other"
"NrdA",0.477994007423666,3.61468248591574,"red",0.186877678431642,"other"
"RpmA",0.094098848655966,3.36063032374533,"red",0.317171830125641,"other"
"DeoA",-4.12425823752567,-3.3040353752598,"blue",0.13136712733076,"other"
"PdxS",-6.36229796950505,1.45426063761862,"brown",0.0802082697395919,"other"
"PrfA",0.585145515754965,1.17034440264853,"yellow",0.0952076310151524,"other"
"TrmL",5.85537771637752,1.74387340769918,"turquoise",0.172579875519172,"other"
"TrmB",0.751342100456503,0.510323335982876,"yellow",0.123333741356239,"other"
"Ppa",2.69121293480709,1.49579911456259,"turquoise",0.173472632166544,"other"
"RplL",-1.21160258595631,3.41667108760031,"red",0.412649307215524,"other"
"AtpG",1.2038624709399,2.85471301303061,"turquoise",0.381722608714467,"other"
"PstS",-6.12075658385441,1.73966531977804,"brown",0.134250411536813,"other"
"RpmB",4.54959396775081,2.79288010821493,"turquoise",0.184742526298257,"other"
"RpsP",-2.95548172537968,3.77834635005148,"brown",0.142436773364831,"other"
"Efp",0.0943060344012052,3.64999418482931,"red",0.210959565375651,"other"
"AraD",-1.40746750180409,-3.86496133580057,"blue",0.040151972933217,"other"
"AcpP",5.47437624390438,-2.27372939362375,"green",0.599696803305741,"other"
"RpsR",5.88278536255672,2.94822960124166,"turquoise",0.258192949918492,"other"
"RplJ",-0.199837701961252,2.13334875331076,"red",0.667829005170685,"other"
"GlpC",5.72287563736751,3.38898496852072,"turquoise",0.146203305863602,"other"
"GppA",5.38151363785579,1.81222968325766,"turquoise",0.130760632607092,"other"
"MutS",-5.94739575926945,1.27380829081686,"brown",0.0923022855002236,"other"
"NusG",-0.056624549075815,1.83533935771139,"red",0.409958320569193,"other"
"RidA",-2.21209784094975,-3.3678884006962,"blue",0.0501557560337194,"other"
"AnsA",-4.68015595023319,2.40082984194906,"brown",0.111236436084265,"other"
"RpmE",5.99081568177059,2.85294347033651,"turquoise",0.190040617525344,"other"
"RpmC",-0.492975073501322,3.36670809016378,"red",0.518208354481174,"other"
"RplR",-0.186706202670786,2.0784440539852,"red",0.477173581777326,"other"
"RpmJ",-0.933221692785475,-2.70576793923227,"blue",0.112080270697596,"other"
"PdxH",5.6790194934161,-1.66224242224543,"green",0.0496970311172549,"other"
"PepB",3.60037044937923,1.45199709162863,"turquoise",0.193832561611674,"other"
"RplU",0.742330712631491,3.41619377360495,"red",0.381789757140044,"other"
"ProB",5.41676430161312,1.57994561419638,"turquoise",0.0255205988468185,"other"
"Tsf",-0.852431003570411,2.91581015811117,"red",0.573272206052969,"other"
"Nei",6.4271188205035,-0.156340370319767,"turquoise",0,"other"
"RpmG",0.760117096260336,2.42877416834982,"red",0.319443647075671,"other"
"RpsT",0.43367080147579,3.60491256938131,"red",0.190794929018105,"other"
"DeoC",-5.6409964138715,0.36920910105856,"brown",0.0603636822083365,"other"
"HemH",2.7237656539233,2.23962717280539,"turquoise",0.0562792145859961,"other"
"GlcD",6.35479168351009,0.57762019858511,"turquoise",0.211547167656649,"other"
"GrxD",7.22323231156185,1.0655912660137,"turquoise",0.137842378251882,"other"
"GmhA",4.44687561447933,2.62159996256979,"turquoise",0.114463321109746,"other"
"Pta",-1.9283886725156,4.28734522090109,"turquoise",0.387430485476597,"other"
"SfcA",4.29852489884212,2.77641587481649,"turquoise",0.311983810379122,"other"
"AckA",5.94964889939144,2.9668660663143,"turquoise",0.359359122355395,"other"
"Cmk",-5.49746890608952,-3.28099055065958,"blue",0.348555316957873,"other"
"PyrF",-3.3518540436475,2.96718816981466,"brown",0.00857924464992038,"other"
"HsdM",-2.04747136180088,-4.03851504101603,"blue",0.0720516266186367,"other"
"DapB",0.315171880081442,3.36315040812643,"red",0.105749236638207,"other"
"InfC",-2.26033659522221,-3.36141915097086,"blue",0.115107582905976,"other"
"RpmI",4.42762140686825,2.72868304476889,"turquoise",0.192640000354757,"other"
"RplT",0.00467084105327431,2.20879321322592,"red",0.406440832147625,"other"
"GlgB",-5.97645993773625,1.17328136191519,"brown",0.203776496977172,"other"
"GlgA",-6.20896192137882,0.502912332870083,"brown",0.100927421777903,"other"
"YqjQ",5.44415001328304,-2.48521156086771,"green",0.357942007302599,"other"
"FolE",-3.77809520308659,2.92908220515402,"brown",0.00466805102186349,"other"
"MoeA",1.38749603684261,0.563086678840237,"yellow",0.0706244209290204,"other"
"FabB",-0.912575709268305,2.77621965632589,"red",0.409408140937446,"other"
"PitA",2.73822502549007,1.96745257601889,"turquoise",0.0680147506248716,"other"
"RibC",-2.75717218463108,3.57463913188131,"brown",0.0064420091531318,"other"
"TldD",-0.698618906184885,-4.74007386936991,"blue",0.128838930172917,"other"
"MoaC",4.73836235459163,1.85873728022726,"turquoise",0.0789195034631724,"other"
"IscA",6.96865515168026,-0.364780882738514,"turquoise",0.126260150119036,"other"
"SpoT",4.99944691117122,2.77106266245993,"turquoise",0.149680715403177,"other"
"MenE/FadK",5.67975859101131,-3.61635632290689,"green",0.616343980719503,"other"
"LipA",6.13298563416317,2.86234240756186,"turquoise",0.145089331800894,"other"
"LipB",6.16201166565731,2.90579633937033,"turquoise",0.0915967753550796,"other"
"MiaA",-3.94224949423954,3.2727616332546,"brown",0.00489700675363498,"other"
"NIF3",0.641853970840719,1.20051794276388,"yellow",0.0957584850171431,"other"
"DapA",5.21457771714046,2.87232952342184,"turquoise",0.131421070631652,"other"
"FabD",0.857883138016012,2.69904093966635,"red",0.137621009590199,"other"
"FabH",-5.67079206053898,0.913212110854702,"brown",0.114611932176887,"other"
"GdhA",-5.7437738949506,-1.23772282376139,"blue",0.425000170115139,"other"
"RplS",-1.16424893085644,3.34063034281881,"red",0.303287873109336,"other"
"TrmD",-0.490608798906061,-4.67972607388346,"turquoise",0.158667513634435,"other"
"Dcp",-6.3216924244611,2.0032315753475,"brown",0.148901113048572,"other"
"BirA2",1.03851811344936,0.364247848846035,"yellow",0.103084591512089,"other"
"SecF",-7.49772306029484,0.54531400427969,"brown",0.320404749186298,"other"
"SecD",-7.32827611510441,1.12059872374685,"brown",0.295517240186887,"other"
"GloA",-2.94781680648014,1.49171810374411,"black",0.0586606946008354,"other"
"NapH",1.99209145958736,0.93329851851614,"yellow",0.0762641860951058,"other"
"YgfZ",6.78502468521908,0.7487389348522,"turquoise",0.0985220754221154,"other"
"AtpC",4.02897934372738,2.15732460246237,"turquoise",0.216505213953694,"other"
"AtpB",3.76110987122371,2.04308610186728,"turquoise",0.191210217058946,"other"
"RplI",-2.41964622084782,4.31190185771139,"brown",0.0597400191726854,"other"
"RpsF",0.824562353447226,3.40155678019674,"turquoise",0.299445251324891,"other"
"Gnd",7.41434578354671,1.49770312533529,"turquoise",0.218924124857023,"other"
"NagB",-7.4462360913007,1.46378092990072,"brown",0.276249780846239,"other"
"AmyA",-5.67309423033879,0.260206212855892,"blue",0.0483408591596846,"other"
"AsnB",5.36348680908993,-3.9557208515629,"green",0.261972574449237,"other"
"CysJ",1.29120282585934,0.676054408408718,"yellow",0.0266362193198728,"other"
"FeoB",-2.79864914958164,1.56521659121664,"black",0.195687737506006,"other"
"GltA",7.06323389466121,-0.148666093491001,"turquoise",0.614346708123223,"other"
"HemA",4.08826021607235,1.70382886157187,"turquoise",0.0877878110948739,"other"
"HyaB",0.6585561459811,0.250377943374233,"yellow",0.1622579913757,"other"
"NuoB",-2.80129309241459,4.01666527018698,"brown",0.0559525533455295,"other"
"HypB",0.797467989280966,0.345215608932095,"yellow",0.0599718267138969,"other"
"WecB",5.43231443817928,-2.78900832905619,"green",0.177687867828701,"other"
"BtuE",-6.41864057128117,1.3413720630184,"brown",0.116933821728132,"other"
"Nit2",-4.63114615027592,2.12905102000387,"brown",0.0721985724901566,"other"
"YbjQ",2.77299837525204,1.91382103190573,"turquoise",0.0857066150348639,"other"
"UgpE",-1.96016557757542,-4.70826143994181,"blue",0.136448044353586,"other"
"SufC",-5.17899556700871,0.315216948844509,"black",0.0547546190615168,"other"
"WecE",0.927650017097738,0.510512044288235,"yellow",0.115797957909838,"other"
"SsnA",-2.85819430892155,-4.58459563031046,"blue",0.130154655131386,"other"
"GcvP1",-6.6025614315717,1.59599690661581,"brown",0.168137815837192,"other"
"GcvT",-6.99555011336491,1.45300011859091,"brown",0.128749606529873,"other"
"Ggt",-4.1335775429456,-3.56653089299051,"blue",0.238209629295957,"other"
"HemE",4.20376591141537,1.78660302386435,"turquoise",0.0775450061277534,"other"
"PlsX",0.316592854812887,-1.20119340195505,"yellow",0.187184934634155,"other"
"GRS1",-6.03890128676579,-0.767542833827419,"blue",0.122641140868561,"other"
"TusA",0.0213698571474821,-1.08902801050989,"yellow",0.0920507614454743,"other"
"ACH1",-2.12426980082676,-3.69769329800455,"blue",0.130095101471397,"other"
"ZupT",-1.52290691678211,-4.19667906536905,"blue",0.0492135931012063,"other"
"YheT",5.55600408966854,-4.11570520176737,"green",0.245328541833892,"other"
"SsuE",7.21973041947201,0.875067403174954,"turquoise",0.260573414335153,"other"
"HybA",0.415934962585714,-1.14220256581156,"yellow",0.351189910713621,"other"
"AccC",2.10024003441646,0.348811795569973,"yellow",0.190913490614424,"other"
"IlvH",5.25898031647518,1.79876547084005,"turquoise",0.110984890141746,"other"
"ThrS",-1.15780772511646,3.16441493258627,"red",0.236145984584733,"other"
"DnaK",4.84604410584286,2.46752958521994,"turquoise",0.191329602722682,"other"
"DppD",-3.34896512572453,-4.51314229740946,"blue",0.188130307762977,"other"
"FadH2",0.60314158852413,-1.12129289879648,"yellow",0.234806130957379,"other"
"GlgC",-2.14265413825199,-4.03693623318521,"blue",0.0969914340905261,"other"
"GlmS",5.40558580811336,-1.43568892254679,"green",0.115819925170155,"other"
