"gene","UMAP1","UMAP2","module","kME","hub"
"RecJ",-0.633878506583414,-3.49407225364349,"turquoise",0.181028856336898,"other"
"PilT",-2.79959396259233,-2.59717231506012,"turquoise",0.332285695090576,"other"
"Hcp",-1.32120350734635,3.25732344871857,"turquoise",0.422361917002349,"other"
"FimA",9.48792763813094,3.42506498581269,"blue",0.014869558619677,"other"
"CitB",9.6614162550743,3.68861455208161,"blue",0.149998626301702,"other"
"ArgD",8.76592179401473,2.94908255821564,"blue",0.0493166026448941,"other"
"ZnuA",0.494980070876637,-1.97411578410766,"turquoise",0.242028013408827,"other"
"XapA",-1.14947835342332,-3.92894488090179,"turquoise",0.169069519131429,"other"
"PepP",-0.209676124018869,0.617837433875582,"turquoise",0.0704644262768528,"other"
"GlnS",1.51926120384292,-0.609890158115843,"turquoise",0.230344990058845,"other"
"GTP1",-2.58390549556657,-2.43603807204864,"turquoise",0.217275826348391,"other"
"AlaS",-4.31725624935075,-3.61071854346893,"turquoise",0.274333272480321,"other"
"PurB",-2.98154119388505,-1.78196268790863,"turquoise",0.15738462140344,"other"
"UppS",-1.51633814708634,-1.87056391948364,"turquoise",0.201075157177443,"other"
"Map",0.275446914273062,-1.56087630504272,"turquoise",0.141767350318215,"other"
"RsmA",8.52447529895858,2.91246432548859,"blue",0.0783822721930498,"other"
"CysK",0.668796815114775,-0.0781459611048487,"turquoise",0.0906186712931812,"other"
"Mdh",0.535251526764342,7.17651385551789,"brown",0.323161101789089,"other"
"DusA",0.33942247195796,-1.37187236064575,"turquoise",0.193995541899868,"other"
"UbiD",-0.495459593695841,-2.99804049247406,"turquoise",0.182768965449907,"other"
"RpsL",-5.20552758113786,-4.36733084434173,"turquoise",0.664765442345606,"other"
"RpsG",-4.2873576058571,-5.30259876960418,"turquoise",0.59765026060388,"other"
"RpsJ",-4.84674481288835,-3.86953407043121,"turquoise",0.684982373649733,"other"
"RpsB",-5.28205088512345,-4.43578940147064,"turquoise",0.850462839171687,"other"
"RibE",-3.1119835747902,-3.60012870544098,"turquoise",0.13894578364366,"other"
"AtpD",-1.87961391345902,2.20593971496918,"turquoise",0.592461892904343,"other"
"AtpA",-1.49526075260087,2.52119392639496,"turquoise",0.557659660786959,"other"
"IlvC",-0.419225491446695,5.87645501381256,"brown",0.254806258703617,"other"
"LeuC",-1.77751592533036,-0.650408054529646,"turquoise",0.167602505934151,"other"
"LeuD",-1.76029209033891,-1.77121084445617,"turquoise",0.206493345473961,"other"
"PucG",0.624993436175146,6.45677441841461,"brown",0.0931039695594923,"other"
"HisC",0.121341966229239,0.662910049022219,"turquoise",0.137050987509508,"other"
"RplK",-5.20019797222062,-4.29895048850677,"turquoise",0.673738064223299,"other"
"RplA",-4.21060112850114,-4.95762425178192,"turquoise",0.680883408561334,"other"
"TatD",0.248107366400518,-2.98391538375519,"turquoise",0.202872671222101,"other"
"RpoB",-5.09370354549333,-4.0826781343808,"turquoise",0.792717451313545,"other"
"RpoC",-4.38712910549089,-3.80387168639801,"turquoise",0.667620022115199,"other"
"RplW",-5.05566195384904,-4.96093397849701,"turquoise",0.791073353937836,"other"
"RplV",0.463266596334734,-2.89999442809723,"turquoise",0.288019300069112,"other"
"RplN",-4.19911888973161,-4.73899203056,"turquoise",0.652707955625736,"other"
"RplE",-4.40893916026994,-4.79796343558929,"turquoise",0.707183492449686,"other"
"RpsH",-4.40356949703141,-5.09040671104095,"turquoise",0.585893107046179,"other"
"RpsE",-4.82185534374162,-5.25255995505951,"turquoise",0.754848375985585,"other"
"RpsM",-2.98966673747941,-3.97631865256927,"turquoise",0.296476599433111,"other"
"RpsK",-3.39334849254533,-4.0169301580777,"turquoise",0.492699171917878,"other"
"RplM",-4.0288708581154,-2.18407457584045,"turquoise",0.683256091225273,"other"
"RpsI",-4.99950102703019,-4.72012549155853,"turquoise",0.653621368861149,"other"
"Ndk",0.368197746711531,7.12815875297882,"brown",0.199353890040544,"other"
"GlyA",-0.4830431117241,5.95770138985016,"brown",0.0990310482900927,"other"
"HemB",1.08485748632506,-2.17524629348419,"turquoise",0.10288008592689,"other"
"RlmL",0.575175408410587,-0.421036998568991,"turquoise",0.142485229247515,"other"
"RibD1",-1.11690143482133,-3.89682250732086,"turquoise",0.0883062355048223,"other"
"LeuA",-0.871136106414041,4.20828789955475,"brown",0.0820735953316311,"other"
"IlvD",-1.77466515438004,0.653058474124453,"turquoise",0.199447427670628,"other"
"ArgG",-1.36867181198045,1.95323461777069,"turquoise",0.14223563760676,"other"
"HisD",0.313758321243086,-1.75526171439789,"turquoise",0.0889834441651722,"other"
"IspA",-3.46225289241715,-2.31647186988495,"turquoise",0.291388765388051,"other"
"RsmB",-0.722274817389688,-3.0008271288266,"turquoise",0.271392999866102,"other"
"TpiA",-0.759847558898172,4.38401717430451,"brown",0.0918394098833429,"other"
"GatA",-1.81588724986955,-2.04976850265167,"turquoise",0.24637045528779,"other"
"TrpA",0.614678107338705,-0.319739932953337,"turquoise",0.155715911437685,"other"
"TyrS",-1.32989267246171,-2.08369129413269,"turquoise",0.2367529647456,"other"
"ArgH",-2.66601518527909,-2.25134306663177,"turquoise",0.145779575231467,"other"
"TrkG",1.44998212917403,-2.15000253432892,"turquoise",0.13800921065775,"other"
"AspS",-1.74768380062028,0.861175243915102,"turquoise",0.337078340059395,"other"
"GlnA",-0.479609884185038,6.08206958061554,"brown",0.160335838870876,"other"
"RpsO",-4.34440306560441,-4.56656914466522,"turquoise",0.466910134065477,"other"
"RpsS",-4.28698519603654,-5.39990597480438,"turquoise",0.463591124763597,"other"
"GyrA",-0.509828366202555,4.10010689979889,"turquoise",0.236282899772296,"other"
"Gmk",0.161300562458792,-1.67751258128784,"turquoise",0.163871479434647,"other"
"NusA",-5.14409760372087,-5.26700382941864,"turquoise",0.639720917776974,"other"
"RplP",-1.54448036090775,-3.62038689368866,"turquoise",0.323263270247747,"other"
"RplX",-5.36146668331071,-5.00432663673065,"turquoise",0.751201666728622,"other"
"RpsN",-4.48211363689347,-3.76864271873138,"turquoise",0.676740332980066,"other"
"PlsC",-0.403185583514414,-1.82148807757995,"turquoise",0.265554728330108,"other"
"FtsZ",-1.83522657291337,1.00862557178833,"turquoise",0.200493220536629,"other"
"ThyA",1.97934063537673,-1.69923680537842,"turquoise",0.141261814651486,"other"
"NrdA",-1.91412691013261,-0.185940525322178,"turquoise",0.298157376479459,"other"
"RpmA",-3.94792822734757,-4.5138567041745,"turquoise",0.498179632018632,"other"
"CysS",-3.00148776904984,-3.47604232543609,"turquoise",0.243317609305576,"other"
"PrfA",1.46964915855483,-2.2649221968045,"turquoise",0.172884408686495,"other"
"TACO1",-1.78623370067521,-1.24635761493347,"turquoise",0.169054079967218,"other"
"TrmL",-3.24660138027116,-4.32175522559784,"turquoise",0.310345209201253,"other"
"TrmB",-0.322688557070932,-2.16911679023407,"turquoise",0.216170754417022,"other"
"Ppa",-1.96934465305253,-2.4712381910672,"turquoise",0.228990944573744,"other"
"RplL",-5.25866869823381,-5.04218798392914,"turquoise",0.766142789456626,"other"
"AtpG",-1.66014293567582,2.55472583061554,"turquoise",0.471811932393629,"other"
"RpmB",-4.26192072765275,-3.74798446410797,"turquoise",0.525165253558674,"other"
"RpsP",-3.33991078273698,-5.10711127036712,"turquoise",0.36170396634694,"other"
"Efp",-4.28683594600602,-4.92119246238373,"turquoise",0.457612834194805,"other"
"Dgt",-0.682708062094889,0.83550376182892,"turquoise",0.143242979050514,"other"
"AcpP",-2.06225780383988,-0.0884361069788721,"turquoise",0.321327919278734,"other"
"RpsR",-5.13443974391862,-5.17544441932342,"turquoise",0.737675835273943,"other"
"GpsA",-1.9470608605568,-1.18164073938034,"turquoise",0.201159145136392,"other"
"RplJ",-4.54377392665788,-4.03038936370514,"turquoise",0.674956414676921,"other"
"GlpC",-0.544512905043802,5.94518059975006,"brown",0.271551594985688,"other"
"GppA",-0.519979514044962,3.94279641395905,"turquoise",0.244796003124077,"other"
"NusG",-3.395686425132,-1.96252732986114,"turquoise",0.311058477480832,"other"
"DapF",1.48695304258422,-2.14089434856079,"turquoise",0.169752134611517,"other"
"RpmE",-3.08944610492631,-1.46510368102691,"turquoise",0.308107124308287,"other"
"RpmC",-4.61676005260392,-4.62019091361664,"turquoise",0.666563916226923,"other"
"RplR",-5.18345765010758,-5.19266968482635,"turquoise",0.556708236576502,"other"
"PepB",-0.786419905585489,-1.57406657451294,"turquoise",0.200071182350454,"other"
"RplU",-5.13509730235978,-4.4741199564328,"turquoise",0.600843090482537,"other"
"Tsf",-3.89743498699113,-5.09266644233368,"turquoise",0.686823388620659,"other"
"DegQ",-1.10436169044419,1.00153023487427,"turquoise",0.195260542972194,"other"
"RpmG",-3.32402590648576,-3.46783142799042,"turquoise",0.419867281981127,"other"
"RpsT",-0.999988950652323,-1.81131904834411,"turquoise",0.307837642897706,"other"
"HemH",0.58092072992281,-2.49825626128814,"turquoise",0.155592234324466,"other"
"GlcD",-0.0165136827652073,6.70319766289093,"brown",0.249676531644791,"other"
"GrxD",-0.301238693160257,0.447397236884615,"turquoise",0.19214068691284,"other"
"Pta",-0.743713892859659,4.95917624718048,"brown",0.347845220740044,"other"
"SfcA",-0.848676718634806,4.46278924232819,"brown",0.231073239302127,"other"
"AckA",-0.935527957839212,4.35186833626129,"brown",0.216358845118959,"other"
"InfC",-4.30297783748551,-3.70068507903717,"turquoise",0.366353153492039,"other"
"RpmI",-3.66905859844132,-4.39415198081634,"turquoise",0.583743175704547,"other"
"RplT",-4.25635222331925,-3.84035235160492,"turquoise",0.587256092177576,"other"
"FabB",-3.79922131435319,-2.09467619174621,"turquoise",0.463971204525318,"other"
"PitA",-1.65654591457292,1.0059049773822,"turquoise",0.187150899490225,"other"
"TldD",-0.0251782907669162,-2.15342419856689,"turquoise",0.202398120180262,"other"
"SpoT",-1.86216739551469,1.99316329246857,"turquoise",0.223785895002335,"other"
"LipA",1.89799281223372,-1.131126339375,"turquoise",0.176836313578732,"other"
"MiaA",8.78564568622664,2.99353379494049,"blue",0.0406382700558662,"other"
"NIF3",6.55089970691756,2.70155662781098,"blue",0.0360203929836353,"other"
"RplS",-4.10507420436784,-4.87625342124603,"turquoise",0.48707353067899,"other"
"TrmD",-3.26414111987992,-2.95970254653595,"turquoise",0.458406733833521,"other"
"Tgt",0.198465936022558,-1.46923630946777,"turquoise",0.113457502921503,"other"
"AtpC",-3.53055409328385,-2.00876825565002,"turquoise",0.384276025011505,"other"
"AtpB",-0.201917506617746,5.92511529213288,"brown",0.076423166249509,"other"
"RplI",-4.43313292400285,-5.24695854896209,"turquoise",0.637411635116656,"other"
"RpsF",-4.68804911510392,-4.12518077605865,"turquoise",0.726686355596732,"other"
"InfA",-5.34156969921037,-5.10888844245575,"turquoise",0.524824858503772,"other"
"YbjQ",0.679616488652983,6.58484143501618,"brown",0.0450242126848426,"other"
"WecE",0.449615650015631,-1.7089136194577,"turquoise",0.120327280169549,"other"
"SsnA",9.77441521747664,4.13887423759796,"blue",0.0672204923077395,"other"
"GcvP1",9.16579457386092,3.12098283058502,"blue",0.0128930719798101,"other"
"PlsX",1.77179452045516,-1.98213558906219,"turquoise",0.25759802926184,"other"
"ThiC",6.69994469745711,3.28002399689057,"turquoise",0.159595447682071,"other"
"Maf",-1.34086052314683,-0.816260690628507,"turquoise",0.0397554985273864,"other"
"ACH1",0.445458114283838,7.05902928596833,"brown",0.232622927266524,"other"
"HerA",-0.714977063101969,-1.55043452495239,"turquoise",0.119402765742231,"other"
"AspB",-0.247910059851847,6.55881613975861,"brown",0.0741641848326008,"other"
"IlvH",-1.61297778026505,0.79147243982651,"turquoise",0.0764196413634883,"other"
"ThrS",-4.1147067918007,-4.95280771964691,"turquoise",0.462859187806445,"other"
"DppD",9.60988255603866,3.65687770134308,"blue",0.0383683238868103,"other"
"GlmS",-1.75814250842973,0.61597502714493,"turquoise",0.198583343374627,"other"
"ThrA",-1.42715791599198,-4.10344677680633,"turquoise",0.192929981788958,"other"
"PrsA",-3.88634804622575,-1.77475481742523,"turquoise",0.356875743223537,"other"
"HflB",0.555780345710673,-2.84782200568817,"turquoise",0.272965165101598,"other"
"CitT",0.679137341814795,6.62542599922516,"brown",0.129391369381152,"other"
"Rfe",1.47892614467696,-2.19497435802124,"turquoise",0.150907716403785,"other"
"SdhB/FrdB",0.193840675192633,7.09935445076325,"brown",0.321743548571087,"other"
"LepA",-3.38757256404801,-1.90664690250061,"turquoise",0.213520551328092,"other"
"SuhB",-3.88539580242082,-5.12044888251922,"turquoise",0.241477418875444,"other"
"Uup",-1.74384049312516,1.87722319847443,"turquoise",0.292981237285624,"other"
"LeuS",-1.53169421092912,-1.73155074828766,"turquoise",0.245790497015064,"other"
"RecN",6.71726103885726,2.95015138870575,"blue",0.0159589722955987,"other"
"ThrC",-3.92003229991837,-3.87671094649933,"turquoise",0.209295306239171,"other"
"BioB",0.524998249622741,-2.11851804965637,"turquoise",0.174449282790984,"other"
"PyrG",-1.50307825939103,1.03600889927246,"turquoise",0.246842644534085,"other"
"CarA",0.626250900464811,-0.375004092990377,"turquoise",0.312645677339105,"other"
"AceF",-1.30524460212632,3.33184212929108,"turquoise",0.381056848409216,"other"
"AccB",-1.39881471530839,2.38977951294281,"turquoise",0.309759290790186,"other"
"GuaB",7.0003039465721,3.05332583671906,"blue",0.193587402112562,"other"
"CBS",8.98886605365828,3.45282334572174,"blue",0.461179459696633,"other"
