"gene","UMAP1","UMAP2","module","kME","hub"
"PorA",4.03890098457454,1.40202902230349,"yellow",0.674836442513631,"other"
"PorA-1",0.108574373770941,6.19376610192386,"turquoise",0.109228372549602,"other"
"cfpA",-2.72643624420048,7.32856033715335,"turquoise",0.36073972687352,"other"
"VapC",3.2515605819714,1.75771068009463,"turquoise",0.0568658456355873,"other"
"Sbm",4.25128282432674,-1.80733563033017,"blue",0.159651111449507,"other"
"grdE-2",-4.27122245902897,7.3822774735364,"turquoise",0.091211945761786,"other"
"FimA",-10.4462884532917,-15.3667998465625,"brown",0.194438358330477,"other"
"DsbD",5.45626701240658,-4.68620111075315,"blue",0.287737102518243,"other"
"Smc",-4.76839958305241,5.5380735245618,"turquoise",0.298912422030846,"other"
"ZnuA",-4.21099029655339,2.52883766564456,"green",0.00730507477375763,"other"
"PepP",-9.27814231986881,-14.6055598410693,"brown",0.0121691526080631,"other"
"AlaS",5.26992954139827,-2.41740609732541,"blue",0.211735887080205,"other"
"PurB",5.24924625282406,-1.11663247671994,"blue",0.215615810427848,"other"
"AsnS",5.53579486732601,-0.862983480366794,"blue",0.194762147906684,"other"
"IlvB",-3.71088348502995,6.37820385369388,"turquoise",0.166036857782001,"other"
"RsmA",3.53342164878963,-5.09418965903195,"blue",0.150693995927988,"other"
"CysK",-1.81189571494938,6.08495233925906,"turquoise",0.0437780171385525,"other"
"PurF",5.00310720329403,-4.85877086249265,"blue",0.234240996943934,"other"
"Upp",4.33288086776851,-5.71762181845578,"blue",0.155285459562994,"other"
"TilS",3.35221017723202,-2.89939548102292,"blue",0.220823567801408,"other"
"ClcA",-3.01299463386418,4.94641970070926,"turquoise",0.0603686457991303,"other"
"Mdh",-8.98007045860173,-14.3960728797046,"brown",0.0361721127704004,"other"
"DusA",1.41564835434078,5.59989021691409,"turquoise",0.0562780354375333,"other"
"AllB",0.821546388913381,4.97163055810061,"turquoise",0.058257657267365,"other"
"PurL1",4.16909088020443,-3.6948218497363,"blue",0.216939557683912,"other"
"PurL2",4.27199472313045,-3.58653356161985,"blue",0.213023237882109,"other"
"TufA",6.97796167259334,-3.69462968436154,"blue",0.331946768956581,"other"
"RpsB",5.36871112709163,-4.87961246100339,"blue",0.540561192294509,"other"
"FieF",-3.63712011451603,4.7705831375989,"turquoise",0.0473386222793,"other"
"AtpA",-4.27415929908634,2.39869020852176,"turquoise",0.0881820739888126,"other"
"GapA",0.226685671259153,5.4946198311719,"turquoise",0.10060413424218,"other"
"IleS",4.54548467521786,-4.58658601370725,"blue",0.321718572189678,"other"
"Nnr1",5.34825147514461,-1.21760715571317,"blue",0.249995685830153,"other"
"Nnr2",5.2623072994244,-1.20122601118955,"blue",0.24997228166827,"other"
"PheT",4.49609054451107,-5.95900632468137,"blue",0.283032410144396,"other"
"EMAP",4.53457511787533,-4.52671290961179,"blue",0.297063360618553,"other"
"ArgF",-4.03887020225407,7.40438555153933,"turquoise",0.198324110667334,"other"
"HisC",4.20943988685726,-4.04908515540036,"blue",0.116687490115373,"other"
"RplK",6.97394956474422,-3.84736062613401,"blue",0.438135850347092,"other"
"RplA",5.31335128669857,-4.85126163092526,"blue",0.41732262338629,"other"
"RpoC",5.05722869758724,-0.578583017262545,"yellow",0.0833802971511213,"other"
"RplD",5.89184249763607,-3.82450629797849,"blue",0.417646439144666,"other"
"RplW",4.554491175462,-5.00783111182126,"blue",0.347910816182153,"other"
"RplB",5.59218038444637,-3.41450931158933,"blue",0.406886614532808,"other"
"RplV",5.62784923439144,-3.45575667944821,"blue",0.331590600414332,"other"
"RpsC",4.99695981865047,-6.16785050955686,"blue",0.698476099932983,"other"
