"cluster","name","avg_log2FC","p_val","p_val_adj","gene","COG_class","Func_anno","Func","time","Anno"
"Adhesive cells","YecM",-4.06643280934288,6.06774023011392e-06,0.000792977801323012,"COG3102","R","Uncharacterized conserved protein YecM, predicted metalloenzyme","","12660999","1K4N"
"Adhesive cells","SCPU",-2.96912041932747,0.000735398677947836,0.0136667450865184,"COG5430","W","Fimbrial subunit ScuA/B, ScuA/B/SCPU domain","","30228191;31396168","6FQA"
"Adhesive cells","GrcA",-2.54825594003097,0.000361705834803279,0.00869341265027192,"COG3445","H","Autonomous glycyl radical cofactor GrcA","","","6OWR"
"Adhesive cells","XFP",-2.05462469118725,0.00421561297405848,0.0374149522627565,"COG3957","G","Phosphoketolase","","","3AHC"
"Adhesive cells","FecB",-1.95653239361119,0.000512321232469651,0.0108997161714453,"COG4594","P","ABC-type Fe3+-citrate transport system, periplasmic component","","",""
"Adhesive cells","NimA",-1.95381712621761,0.00442639049383127,0.0381548954748432,"COG3467","V","Nitroimidazole reductase NimA or a related FMN-containing flavoprotein, pyridoxamine 5'-phosphate oxidase superfamily","","","1W3O"
"Adhesive cells","Pgu1",-1.95177549447279,0.000682358686201962,0.0130900184664982,"COG5434","G","Polygalacturonase","","","1BHE"
"Adhesive cells","ManB2",-1.82058714708749,0.00173250745054813,0.022784107415699,"COG4124","G","Beta-mannanase","","","1GVY"
"Adhesive cells","FucI",-1.81131962195046,0.0171762607015541,0.086752563108574,"COG2407","G","L-fucose isomerase or related protein","","22865846","1FUI"
"Adhesive cells","HicB",-1.77369380322065,0.00026039653062618,0.00686390587820207,"COG1598","V","Antitoxin component HicB of the HicAB toxin-antitoxin system","","19060138","4P78"
"Adhesive cells","HicB",-1.77369380322065,0.00026039653062618,0.00686390587820207,"COG4226","R","Predicted nuclease of the RNAse H fold, HicB family","","",""
"Adhesive cells","GlcU",-1.77101666942044,0.00101977149607728,0.0161098893122808,"COG4975","G","Glucose uptake protein GlcU","","",""
"Adhesive cells","ProQ",-1.7164680383602,0.000812711989826795,0.0143074024664941,"COG3109","T","sRNA-binding protein ProQ","","","1DVO"
"Adhesive cells","LolB",-1.55338340053592,0.00185922538885732,0.0235614562915191,"COG3017","M","Outer membrane lipoprotein LolB, involved in outer membrane biogenesis","","","1IWM"
"Adhesive cells","Ppro0129",-1.5438004437798,0.00424497931229337,0.0374149522627565,"COG2907","R","Predicted flavin-containing amine oxidase","","",""
"Adhesive cells","QueFN",-1.52485769604178,0.000834769536543412,0.0143074024664941,"COG2904","J","NADPH-dependent 7-cyano-7-deazaguanine reductase QueF, N-terminal domain","","","3BP1"
"Adhesive cells","BamE",-1.51989835124742,0.00272614338181004,0.0286450543284663,"COG2913","M","Outer membrane protein assembly factor BamE, lipoprotein component of the BamABCDE complex","","","2KM7"
"Adhesive cells","Gsp",-1.50658422787303,0.00756096835710358,0.0525248665604771,"COG0754","E","Glutathionylspermidine synthase, CHAP domain","","","2IO7"
"Adhesive cells","OapA",-1.5062152712071,0.000499065196163929,0.0108997161714453,"COG3061","D","Cell division protein YtfB/OapA (opacity-associated protein A)","","29686141",""
"Adhesive cells","COG4784",-1.46809007997792,0.010586750133987,0.0657460813782184,"COG4784","R","Putative Zn-dependent protease","","",""
"Adhesive cells","RpsF",-1.43864630543167,0.000122132780234187,0.00425632739116142,"COG0360","J","Ribosomal protein S6","Ribosome 30S subunit","","4V4H"
"Adhesive cells","RecC",-1.42390466557442,0.00532894161657005,0.0418994001889564,"COG1330","L","Scaffold subunit RecC of the DNA repair enzyme RecBCD (exonuclease V)","","30601118","1W36"
"Adhesive cells","Hia",-1.40952808275033,0.00500109756418298,0.0408488086199477,"COG5295","UW","Autotransporter adhesin","","","2GR7"
"Adhesive cells","AHP1",-1.40748355652213,0.040652196792606,0.145305544433058,"COG0678","O","Peroxiredoxin","","","1H4O"
"Adhesive cells","IcmF",-1.40363396078182,0.00942412747925883,0.0610088252604651,"COG3523","U","Type VI protein secretion system component VasK","","",""
"Adhesive cells","COG3767",-1.39095844391904,0.00864664297634772,0.0570351118723757,"COG3767","S","Uncharacterized low-complexity protein","","",""
